stn,time,th6190yv,,,
GVE,1950,0.8,,,
GVE,1951,0.0,,,
GVE,1952,0.3,,,
GVE,1953,0.1,,,
GVE,1954,-0.2,,,
GVE,1955,0.1,,,
GVE,1956,-1.1,,,
GVE,1957,-0.2,,,
GVE,1958,0.0,,,
GVE,1959,0.6,,,
GVE,1960,0.1,,,
GVE,1961,0.9,,,
GVE,1962,-0.6,,,
GVE,1963,-1.1,,,
GVE,1964,0.2,,,
GVE,1965,-0.8,,,
GVE,1966,0.4,,,
GVE,1967,0.1,,,
GVE,1968,-0.3,,,
GVE,1969,-0.5,,,
GVE,1970,-0.3,,,
GVE,1971,-0.3,,,
GVE,1972,-0.4,,,
GVE,1973,-0.5,,,
GVE,1974,0.2,,,
GVE,1975,0.1,,,
GVE,1976,0.2,,,
GVE,1977,0.2,,,
GVE,1978,-0.6,,,
GVE,1979,0.1,,,
GVE,1980,-0.8,,,
GVE,1981,-0.1,,,
GVE,1982,0.8,,,
GVE,1983,0.6,,,
GVE,1984,-0.1,,,
GVE,1985,-0.5,,,
GVE,1986,0.2,,,
GVE,1987,0.2,,,
GVE,1988,0.9,,,
GVE,1989,1.1,,,
GVE,1990,1.1,,,
GVE,1991,0.5,,,
GVE,1992,1.0,,,
GVE,1993,0.5,,,
GVE,1994,2.0,,,
GVE,1995,1.0,,,
GVE,1996,0.2,,,
GVE,1997,1.1,,,
GVE,1998,1.0,,,
GVE,1999,0.9,,,
GVE,2000,1.5,,,
GVE,2001,1.2,,,
GVE,2002,1.6,,,
GVE,2003,1.7,,,
GVE,2004,1.1,,,
GVE,2005,0.7,,,
GVE,2006,1.5,,,
GVE,2007,1.4,,,
GVE,2008,0.9,,,
GVE,2009,1.5,,,
GVE,2010,0.4,,,
GVE,2011,1.8,,,
GVE,2012,1.3,,,
GVE,2013,0.6,,,
GVE,2014,2.1,,,
GVE,2015,1.9,,,
GVE,2016,1.4,,,
GVE,2017,1.7,,,
GVE,2018,2.6,,,
GVE,2019,2.1,,,
GVE,2020,2.5,,,
GVE,2021,1.2,,,
GVE,2022,3.2,,,
